case_id,scenario,switch_count,case_type,policy_id,tt_flow_count,controlled_hop_count,total_symbolic_var_count,total_hard_constraint_count,non_overlap_constraint_count,contention_pair_count,max_flows_per_egress,z3_check_wall_ms,status,repeat_count
structured50_auto:PF:l_sw21_sw22,structured50_auto,50,PF,,50,282,283,1375,428,428,11,1724.983715,SAT,1
structured50_auto:PF:l_sw21_sw31,structured50_auto,50,PF,,50,284,285,1299,346,346,8,2114.259079,SAT,1
structured50_auto:PF:l_sw22_sw23,structured50_auto,50,PF,,50,284,285,1383,430,430,11,2221.3902980000003,SAT,1
structured50_auto:PF:l_sw23_sw33,structured50_auto,50,PF,,50,280,281,1302,361,361,10,1545.34997,SAT,1
structured50_auto:PF:l_sw23_sw35,structured50_auto,50,PF,,50,290,291,1409,438,438,11,2209.349155,SAT,1
structured50_auto:PF:l_sw24_sw34,structured50_auto,50,PF,,50,280,281,1347,406,406,10,1648.361108,SAT,1
structured50_auto:PF:l_sw25_sw26,structured50_auto,50,PF,,50,282,283,1371,424,424,10,2126.907589,SAT,1
structured50_auto:PF:l_sw25_sw35,structured50_auto,50,PF,,50,280,281,1339,398,398,10,2148.539212,SAT,1
structured50_auto:PF:l_sw26_sw27,structured50_auto,50,PF,,50,282,283,1369,422,422,10,2095.445754,SAT,1
structured50_auto:PF:l_sw27_sw37,structured50_auto,50,PF,,50,280,281,1331,390,390,10,2064.9555020000003,SAT,1
structured50_auto:PF:l_sw27_sw39,structured50_auto,50,PF,,50,286,287,1359,400,400,10,2374.117893,SAT,1
structured50_auto:PF:l_sw29_sw39,structured50_auto,50,PF,,50,282,283,1307,360,360,9,2169.5057699999998,SAT,1
structured50_auto:PF:l_sw31_sw41,structured50_auto,50,PF,,50,280,281,1283,342,342,8,2253.964551,SAT,1
structured50_auto:PF:l_sw33_sw43,structured50_auto,50,PF,,50,280,281,1322,381,381,10,2090.8437540000004,SAT,1
structured50_auto:PF:l_sw34_sw46,structured50_auto,50,PF,,50,280,281,1349,408,408,10,1672.278297,SAT,1
structured50_auto:PF:l_sw35_sw36,structured50_auto,50,PF,,50,282,283,1383,436,436,11,1567.926039,SAT,1
structured50_auto:PF:l_sw35_sw45,structured50_auto,50,PF,,50,286,287,1345,386,386,10,1664.0200009999999,SAT,1
structured50_auto:PF:l_sw36_sw37,structured50_auto,50,PF,,50,282,283,1383,436,436,11,1574.408125,SAT,1
structured50_auto:PF:l_sw37_sw47,structured50_auto,50,PF,,50,280,281,1334,393,393,10,2046.491906,SAT,1
structured50_auto:PF:l_sw39_sw49,structured50_auto,50,PF,,50,284,285,1326,373,373,10,1966.299719,SAT,1
structured50_auto:PF:l_sw46_sw47,structured50_auto,50,PF,,50,280,281,1349,408,408,10,1682.408646,SAT,1
structured50_auto:SHARED:J020:031965eb7d15aa73,structured50_auto,50,SHARED,J020,50,286,287,1324,365,365,10,2245.232055,SAT,1
structured50_auto:SHARED:J020:1bcc5217c7acb3cd,structured50_auto,50,SHARED,J020,50,286,287,1363,404,404,10,2062.659804,SAT,1
